,ODINO,MFR_NAME,MAKETXT,MODELTXT,YEARTXT,CRASH,FAILDATE,FIRE,INJURED,DEATHS,COMPDESC,CITY,STATE,VIN,DATEA,LDATE,MILES,OCCURENCES,CDESCR,CMPL_TYPE,POLICE_RPT_YN,PURCH_DT,ORIG_OWNER_YN,ANTI_BRAKES_YN,CRUISE_CONT_YN,NUM_CYLS,DRIVE_TRAIN,FUEL_SYS,FUEL_TYPE,TRANS_TYPE,VEH_SPEED,DOT,TIRE_SIZE,LOC_OF_TIRE,TIRE_FAIL_TYPE,ORIG_EQUIP_YN,MANUF_DT,SEAT_TYPE,RESTRAINT_TYPE,PROD_TYPE,REPAIRED_YN,MEDICAL_ATTN,VEHICLES_TOWED_YN,COMPSYS_1,COMPSYS_2,COMPSYS_3,COMPSYS_4,COMPSYS_5,LDATE_month
1785619,11445812,hyundai motor america,hyundai,santa fe,2015-01-01,n,,n,0,0,engine,peoria,az,5xyztdlbxfg,2022-01-01,2022-01-01,,,per the theta engine recall settlement i had the recall work performed on my 2015 hyundai sante fe on august 23 2021  roughly in october the oil light faded on and off on  the dashboard  i pulled into the autozone and purchased 1 quart of engine oil  i checked the dipstick in the parking lot and added the quart to the proper fill line of the engine dipstick  on 11112021 while driving my vehicle without any warning the engine stopped and shut the car off in traffic  the oil light check engine light and service light came on then went off  i attempted 5 times to restart the engine before it would run  i took it to a midas auto shop where the diagnostic advised the engine failed and was damaged    i had the vehicle towed to larry h miller hyundai in peoria az 85382  the diagnostics indicated that the engine failed as was due to the fact of the theta class engine recall  the mechanic service manager and service advisor took notes and photographs of the valve train on the engine block  they advised the vehicle engine was damaged and needed replacement  they advised they did not find any indications of lack of maintenance  the engine was low on oil as it is apparent that the engine was more likely running hot    hyundai motors has denied the extended warranty claim even though the recall updates have been completed prior to the engine failure  i have appealed within the company for the replacement of the engine but hyundai is continuing to deny the claims  the dealership has advised other customers are being denied for the same reason just due to gaps in service records even though there are no indications of wear of the engine    hyundai has since tried to settle the claim with me for 50000 to release the company from any liability that the hma failed to conform the vehicle to warranty in connection fo my concerns and history repair  ,ivoq,n,,n,n,n,,,,,,40.0,,,,,,,,,v,,n,n,engine,,,,,2022-01
1785646,11445833,hyundai motor america,hyundai,kona,2021-01-01,n,,n,0,0,engine,wichita,ks,km8k22aa8mu,2022-01-02,2022-01-02,,,we have a 2021 hyundai which is the subject of an engine recall there have been no repairs to the car and we just turned 5000 miles when the car is cold and first started the engine knocks and it has gone through 2 quarts of oil so far the dealership says nothing is wrong with it i have video of it being started and knocking we are afraid to park it in our garage due to fire risk and due to the greatly reduced price of repairs the dealer can charge hyundai  are getting nothing done the number 1 driver of this car is 88 years old and does not need this stress help please,ivoq,n,,n,n,n,,,,,,,,,,,,,,,v,,n,n,engine,,,,,2022-01
1785647,11445834,hyundai motor america,hyundai,elantra,2017-01-01,n,,n,0,0,engine,long branch,nj,5npd84lf0hh,2022-01-02,2022-01-02,,,left a location driving my vehicle normally the check engine light comes on then my vehicle loses acceleration and then my vehicle stalls and i almost didnt make it home ,ivoq,n,,n,n,n,,,,,,15.0,,,,,,,,,v,,n,n,engine,,,,,2022-01
1785648,11445835,hyundai motor america,hyundai,veloster,2012-01-01,n,,n,0,0,electrical system,hermitage,tn,kmhtc6ad9cu,2022-01-02,2022-01-02,,,i had a recall done on my car and driving 10 mins from the shop it lost power  i called the shop they had me pull over and try shutting off the car and starting it back up which didnt work so i was told to drive back if i can make it  it took 25 mins with the throttle going up and down  they had it for about a hour or two and said it was the oil being low  2 qts but they put 3qts in they got it working and 2 weeks later it did the same thing i called and took it back they said it was the spark plugs and i had to pay for that  i explain to them i had no problems until the recall was done and they say the recall was good  so now we 2 months out and the thing which the recall was for is completely broken throttle ecm  i was on christmas vacation when it went into protection mode and i couldnt drive it  it showed no codes until i had mechanic come change out the throttle body but it still doesnt work because these codes p0222 and p0123 which is the throttle position pedal i had to tow the car back because thats not a regular carried part for auto parts stores whats the next steps on getting this fixed because hyundai refuse to fix it,ivoq,n,,n,n,n,,,,,,5.0,,,,,,,,,v,,n,n,electrical system,,,,,2022-01
1785649,11445835,hyundai motor america,hyundai,veloster,2012-01-01,n,,n,0,0,engine,hermitage,tn,kmhtc6ad9cu,2022-01-02,2022-01-02,,,i had a recall done on my car and driving 10 mins from the shop it lost power  i called the shop they had me pull over and try shutting off the car and starting it back up which didnt work so i was told to drive back if i can make it  it took 25 mins with the throttle going up and down  they had it for about a hour or two and said it was the oil being low  2 qts but they put 3qts in they got it working and 2 weeks later it did the same thing i called and took it back they said it was the spark plugs and i had to pay for that  i explain to them i had no problems until the recall was done and they say the recall was good  so now we 2 months out and the thing which the recall was for is completely broken throttle ecm  i was on christmas vacation when it went into protection mode and i couldnt drive it  it showed no codes until i had mechanic come change out the throttle body but it still doesnt work because these codes p0222 and p0123 which is the throttle position pedal i had to tow the car back because thats not a regular carried part for auto parts stores whats the next steps on getting this fixed because hyundai refuse to fix it,ivoq,n,,n,n,n,,,,,,5.0,,,,,,,,,v,,n,n,engine,,,,,2022-01
1785712,11445878,hyundai motor america,hyundai,sonata,2012-01-01,n,,n,0,0,air bags,los angeles,ca,5npec4ab9ch,2022-01-02,2022-01-02,,,1air   2 not inspección 1year ago   3 air bag lihg warning was the first day a buy tne car never im put interés now im know is bad in damgere,ivoq,n,,n,n,n,,,,,,,,,,,,,,,v,,n,n,air bags,,,,,2022-01
1785713,11445878,hyundai motor america,hyundai,sonata,2012-01-01,n,,n,0,0,electrical system,los angeles,ca,5npec4ab9ch,2022-01-02,2022-01-02,,,1air   2 not inspección 1year ago   3 air bag lihg warning was the first day a buy tne car never im put interés now im know is bad in damgere,ivoq,n,,n,n,n,,,,,,,,,,,,,,,v,,n,n,electrical system,,,,,2022-01
1785714,11445878,hyundai motor america,hyundai,sonata,2012-01-01,n,,n,0,0,suspension,los angeles,ca,5npec4ab9ch,2022-01-02,2022-01-02,,,1air   2 not inspección 1year ago   3 air bag lihg warning was the first day a buy tne car never im put interés now im know is bad in damgere,ivoq,n,,n,n,n,,,,,,,,,,,,,,,v,,n,n,suspension,,,,,2022-01
1785758,11445910,hyundai motor america,hyundai,tucson,2017-01-01,n,,y,0,0,engine,duluth,ga,km8j33a47hu,2022-01-03,2022-01-03,90000.0,,the contact owns a 2017 hyundai tucson while at a complete stop the contact stated that white smoke began to emit from the engine upon the depression of the accelerator pedal the vehicle then began to stall as the check engine light illuminated eventually all warning lights illuminated on the instrument panel the contact made multiple attempts to restart the vehicle however the vehicle failed to start up the contact had the vehicle towed to an independent mechanic where they informed her that there were two recalls on her vehicle nhtsa campaign number 20v543000 service brakes hydraulic and 21v727000 engine the mechanic recommended that the vehicle be towed to a dealer for service both the dealer and the manufacturer were notified of the failure the vehicle was not repaired the failure mileage was approximately 90000 engine needs to be replaced case xxxjb  information redacted pursuant to the freedom of information act foia 5 usc 552b6 ,evoq,n,,n,n,n,4.0,fwd,,gs,,,,,,,,,,,v,,n,y,engine,,,,,2022-01
1785781,11445924,hyundai motor america,hyundai,tucson,2016-01-01,n,,n,0,0,engine,austin,tx,km8j23a48gu,2022-01-03,2022-01-03,92933.0,,the contact owns a 2016 hyundai tucson the contact stated while his daughter was driving 25 mph she heard an abnormal noise the contact stated multiple unknown warning lights were illuminated the driver was able to park on the side of the road the vehicle was not drivable the contact towed the vehicle to another daughters apartment the contact spoke to the local dealer and made them aware of the failure the dealer had the vehicle towed to their location to be diagnosed which was still pending the vehicle was not repaired but was pending repairs the manufacturer had not been informed of the failure the failure mileage was 92933,evoq,n,,n,n,n,,,,,,25.0,,,,,,,,,v,,n,y,engine,,,,,2022-01
1785794,11445933,hyundai motor america,hyundai,kona,2021-01-01,n,,n,0,0,engine,toledo,oh,km8k1caa2mu,2022-01-03,2022-01-03,21605.0,,the contact owns a 2021 hyundai kona the contact stated that while driving at 20 mph the vehicle inadvertently stalled and lost electrical power the battery warning light engine warning light and an unknown warning light were illuminated the contact veered to the side of the road the contact was unable to restart the vehicle after several attempts the contact waited an hour and was able to restart the vehicle and drive however the vehicle was shaking while driving the contact stated that the failure reoccurred while driving the vehicle was towed to the dealer who diagnosed that the engine had failed and needed to be replaced the dealer advised the contact that the vehicle would be repaired at her own expense the contact referenced nhtsa campaign number 21v301000 engine the manufacturer was notified of the failure but did not provide any assistance the vehicle was not repaired the failure mileage was approximately 21605,evoq,n,,n,n,n,,,,,,20.0,,,,,,,,,v,,n,y,engine,,,,,2022-01
1785797,11445935,hyundai motor america,hyundai,elantra gt,2018-01-01,n,,n,0,0,engine,nashville,tn,kmhh35le1ju,2022-01-03,2022-01-03,,,at 77000 miles with immaculate care taken of the engine with regular maintenance and only 2 weeks since the previous oil change the engine failed at the end of an 115 hour road trip and left me stranded on the side of a busy highway this vehicle has the hyundai nu 20 gdi engine which has been recalled in other vehicles for this same issue and sometimes resulting fires but not this vehicle,ivoq,n,,n,n,n,,,,,,75.0,,,,,,,,,v,,n,n,engine,,,,,2022-01
1785804,11445942,hyundai motor america,hyundai,sonata,2015-01-01,n,,y,1,0,electrical system,not hispanic,oh,5npe24af1fh,2022-01-03,2022-01-03,,,the car caught fire i only had the car for 3 weeks i had just started the car for work there were no warning lights on if some unknown guy have not told me to get out my car i would had died ,ivoq,n,,n,n,n,,,,,,0.0,,,,,,,,,v,,y,n,electrical system,,,,,2022-01
1785805,11445942,hyundai motor america,hyundai,sonata,2015-01-01,n,,y,1,0,engine,not hispanic,oh,5npe24af1fh,2022-01-03,2022-01-03,,,the car caught fire i only had the car for 3 weeks i had just started the car for work there were no warning lights on if some unknown guy have not told me to get out my car i would had died ,ivoq,n,,n,n,n,,,,,,0.0,,,,,,,,,v,,y,n,engine,,,,,2022-01
