,ODINO,MFR_NAME,MAKETXT,MODELTXT,YEARTXT,CRASH,FAILDATE,FIRE,INJURED,DEATHS,COMPDESC,CITY,STATE,VIN,DATEA,LDATE,MILES,OCCURENCES,CDESCR,CMPL_TYPE,POLICE_RPT_YN,PURCH_DT,ORIG_OWNER_YN,ANTI_BRAKES_YN,CRUISE_CONT_YN,NUM_CYLS,DRIVE_TRAIN,FUEL_SYS,FUEL_TYPE,TRANS_TYPE,VEH_SPEED,DOT,TIRE_SIZE,LOC_OF_TIRE,TIRE_FAIL_TYPE,ORIG_EQUIP_YN,MANUF_DT,SEAT_TYPE,RESTRAINT_TYPE,DEALER_NAME,DEALER_TEL,DEALER_CITY,DEALER_STATE,DEALER_ZIP,PROD_TYPE,REPAIRED_YN,MEDICAL_ATTN,VEHICLES_TOWED_YN
1734437,11403645,tesla inc,tesla,model x,2016-01-01,n,2021-03-18,n,0,0,structurebody,indianapolis,in,5yjxcbe44gf,2021-03-18 00:00:00,2021-03-18 00:00:00,61000.0,,tl the contact owns a 2016 tesla model x the contact stated that while driving over a puddle of water at 35 mph the front passenger side wheel body trim detached from the vehicle the cause of the failure was not determined the local dealer tesla service center 8280 castleton corner dr indianapolis in 46250 and the manufacturer were notified of the failure the approximate failure mileage was 61000 ,evoq,n,,n,n,n,,,,,,,,,,,,,,,,,,,,v,,n,n
1734461,11403661,tesla inc,tesla,model s,2013-01-01,n,2021-03-18,n,0,0,electrical system,voorhees,nj,5yjsa1cg5df,2021-03-18 00:00:00,2021-03-18 00:00:00,84984.0,,the car is not getting its software updates because of a bad mcu the dealer is quoting 1200 to replace,ivoq,n,,n,n,n,,,,,,,,,,,,,,,,,,,,v,,n,n
1734522,11403707,tesla inc,tesla,model 3,2018-01-01,y,2021-03-17,n,0,0,structurebody,carlsbad,ca,5yj3e1ea3jf,2021-03-18 00:00:00,2021-03-18 00:00:00,55921.0,,i was in bumper to bumper traffic on the freeway about to change lanes i was on totally manual operation the car suddenly accelerated and hit a car and continued with my foot on the brake to hit another car there was no collision damage warning or avoidance automatically stopping the car,ivoq,y,,n,n,n,,,,,,20.0,,,,,,,,,,,,,,v,,n,y
1734523,11403707,tesla inc,tesla,model 3,2018-01-01,y,2021-03-17,n,0,0,suspension,carlsbad,ca,5yj3e1ea3jf,2021-03-18 00:00:00,2021-03-18 00:00:00,55921.0,,i was in bumper to bumper traffic on the freeway about to change lanes i was on totally manual operation the car suddenly accelerated and hit a car and continued with my foot on the brake to hit another car there was no collision damage warning or avoidance automatically stopping the car,ivoq,y,,n,n,n,,,,,,20.0,,,,,,,,,,,,,,v,,n,y
1734524,11403707,tesla inc,tesla,model 3,2018-01-01,y,2021-03-17,n,0,0,forward collision avoidance warnings,carlsbad,ca,5yj3e1ea3jf,2021-03-18 00:00:00,2021-03-18 00:00:00,55921.0,,i was in bumper to bumper traffic on the freeway about to change lanes i was on totally manual operation the car suddenly accelerated and hit a car and continued with my foot on the brake to hit another car there was no collision damage warning or avoidance automatically stopping the car,ivoq,y,,n,n,n,,,,,,20.0,,,,,,,,,,,,,,v,,n,y
1734579,11403748,tesla inc,tesla,vehicle charger,,n,2021-03-18,n,0,0,equipment,,ca,,2021-03-18 00:00:00,2021-03-18 00:00:00,,,how is nhtsa responding to the recent incident httpsdriveteslacanadacamodelyteslaownerwatchesmodelycatchfireindrivewayutm_sourcerssutm_mediumrssutm_campaignteslaownerwatchesmodelycatchfireindriveway,ivoq,n,,,,,,,,,,,,,,,n,,,,,,,,,e,,n,
1734650,11403795,tesla inc,tesla,model 3,2018-01-01,y,2021-03-07,n,1,0,air bags,los angeles,ca,5yj3e1ebxjf,2021-03-18 00:00:00,2021-03-18 00:00:00,11000.0,,we recently got into an sua with our current tesla 3 i was turning into my drive way and i came to a complete stop while i was waiting for the gate to open and when i braked the car suddenly sped up very fast and i stepped on the brake again but the car did not stop the car was also in hold mode when i later checked i never stepped down on the accelerator hard enough to reach the speed of running through 2 cemented metal gates the airbags didnt pop out and teslas sensor break system also did not activate i also believe that there was an issue with the computer system of my car a short while after i purchased my car april 18 2018 i was driving back home when the display screen was stuck on the park mode for the whole entire drive back i couldnt turn on my signals or see my mph even after i got home it wouldnt turn off even after trying for 2 hours so i had to call roadside assistance and she told me a way to reset the car  i have videos to prove this there have also been incidents when i am braked and waiting at a red light i obviously pressed accel when the light turned green but the car went into park mode and i would get startled and quickly manually turn it into drive mode this has happened approximately 45 times in the past year and even recently in 2021,ivoq,y,,n,n,n,,,,,,0.0,,,,,,,,,,,,,,v,,y,y
1734651,11403795,tesla inc,tesla,model 3,2018-01-01,y,2021-03-07,n,1,0,service brakes,los angeles,ca,5yj3e1ebxjf,2021-03-18 00:00:00,2021-03-18 00:00:00,11000.0,,we recently got into an sua with our current tesla 3 i was turning into my drive way and i came to a complete stop while i was waiting for the gate to open and when i braked the car suddenly sped up very fast and i stepped on the brake again but the car did not stop the car was also in hold mode when i later checked i never stepped down on the accelerator hard enough to reach the speed of running through 2 cemented metal gates the airbags didnt pop out and teslas sensor break system also did not activate i also believe that there was an issue with the computer system of my car a short while after i purchased my car april 18 2018 i was driving back home when the display screen was stuck on the park mode for the whole entire drive back i couldnt turn on my signals or see my mph even after i got home it wouldnt turn off even after trying for 2 hours so i had to call roadside assistance and she told me a way to reset the car  i have videos to prove this there have also been incidents when i am braked and waiting at a red light i obviously pressed accel when the light turned green but the car went into park mode and i would get startled and quickly manually turn it into drive mode this has happened approximately 45 times in the past year and even recently in 2021,ivoq,y,,n,n,n,,,,,,0.0,,,,,,,,,,,,,,v,,y,y
1734652,11403795,tesla inc,tesla,model 3,2018-01-01,y,2021-03-07,n,1,0,vehicle speed control,los angeles,ca,5yj3e1ebxjf,2021-03-18 00:00:00,2021-03-18 00:00:00,11000.0,,we recently got into an sua with our current tesla 3 i was turning into my drive way and i came to a complete stop while i was waiting for the gate to open and when i braked the car suddenly sped up very fast and i stepped on the brake again but the car did not stop the car was also in hold mode when i later checked i never stepped down on the accelerator hard enough to reach the speed of running through 2 cemented metal gates the airbags didnt pop out and teslas sensor break system also did not activate i also believe that there was an issue with the computer system of my car a short while after i purchased my car april 18 2018 i was driving back home when the display screen was stuck on the park mode for the whole entire drive back i couldnt turn on my signals or see my mph even after i got home it wouldnt turn off even after trying for 2 hours so i had to call roadside assistance and she told me a way to reset the car  i have videos to prove this there have also been incidents when i am braked and waiting at a red light i obviously pressed accel when the light turned green but the car went into park mode and i would get startled and quickly manually turn it into drive mode this has happened approximately 45 times in the past year and even recently in 2021,ivoq,y,,n,n,n,,,,,,0.0,,,,,,,,,,,,,,v,,y,y
1734904,11403970,tesla inc,tesla,model x,2018-01-01,n,2021-03-18,n,0,0,unknown or other,pleasanton,ca,5yjxcde22jf,2021-03-19 00:00:00,2021-03-19 00:00:00,35266.0,,on march 18 had to make a panic emergency stop to avoid a collision  i heard a popping noise and immediately had grinding and scraping from the left front wheel  sound worse with right turns less with left turns  scraping continued with driving and car was taken to tesla service dublin as a safety issue not safe to drive  tesla confirmed that two bolts holding the left front brake caliper broken and had to replace them  tesla took photos but i did not receive them  wheel noise resolved,ivoq,n,,n,n,n,,,,,,0.0,,,,,,,,,,,,,,v,,n,n
1734910,11403975,tesla inc,tesla,model 3,2018-01-01,n,2020-12-28,n,0,0,forward collision avoidance automatic emergency braking,houston,tx,5yj3e1eb1jf,2021-03-19 00:00:00,2021-03-19 00:00:00,15000.0,,while driving major federal freeways i65  i85 between houston and nc the car while on autopilot and traveling at freeway speed 70 mph would emergency brake when approaching some 67 times overpasses apparently thinking the overpass was crossing traffic or a forward obstruction  this also occurred 34 times when it was simply a rise in the freeway ahead the braking only lasted for maximum 12 seconds but since the vehicles behind me would not be expecting me to brake i consider this a serious safety issue,ivoq,n,,n,n,n,,,,,,70.0,,,,,,,,,,,,,,v,,n,n
1734936,11403993,tesla inc,tesla,model x,2021-01-01,n,2021-01-01,n,0,0,suspension,beverley hills,ca,5yjxcde46mf,2021-03-20 00:00:00,2021-03-20 00:00:00,100.0,,here is a 2021 model x in the junkyard  httpswwwiaaicomvehicledetails39434989tenantusrownumber19  the back wheel and suspension has snapped off  this is not the result of a crash it is the result of a manufacturing defect  the lower control arm has cracked in half allowing the wheel to go whompabout  just look at the photographs  these lower links have snapped many times already and have caused fatal crashes  please put a stop to this tesla madness  thank you  keef  ,ivoq,n,,n,n,n,,,,,,30.0,,,,,,,,,,,,,,v,,n,n
1734938,11403991,tesla inc,tesla,model y,2021-01-01,n,2021-02-01,n,0,0,steering,beverley hills,ca,5yjygdee7mf,2021-03-20 00:00:00,2021-03-20 00:00:00,100.0,,here is a model y in the junkyard  httpswwwiaaicomvehicledetails39423095tenantusrownumber11  the front wheel fell off  all the stupid flimsy little ball joints have snapped off  the wheel is stashed in the frunk  the damage to the wheel well is a strong indication that the wheel was not torn off in a crash but that it went whompy and thrashed the begeezus out of the front of the car  this a 2021 car and this is the best they can do  this thing is a killer on the road  please get these deadly junksters off the roads  thank you  keef    ,ivoq,n,,n,n,n,,,,,,30.0,,,,,,,,,,,,,,v,,n,n
