,ODINO,MFR_NAME,MAKETXT,MODELTXT,YEARTXT,CRASH,FAILDATE,FIRE,INJURED,DEATHS,COMPDESC,CITY,STATE,VIN,DATEA,LDATE,MILES,OCCURENCES,CDESCR,CMPL_TYPE,POLICE_RPT_YN,PURCH_DT,ORIG_OWNER_YN,ANTI_BRAKES_YN,CRUISE_CONT_YN,NUM_CYLS,DRIVE_TRAIN,FUEL_SYS,FUEL_TYPE,TRANS_TYPE,VEH_SPEED,DOT,TIRE_SIZE,LOC_OF_TIRE,TIRE_FAIL_TYPE,ORIG_EQUIP_YN,MANUF_DT,SEAT_TYPE,RESTRAINT_TYPE,DEALER_NAME,DEALER_TEL,DEALER_CITY,DEALER_STATE,DEALER_ZIP,PROD_TYPE,REPAIRED_YN,MEDICAL_ATTN,VEHICLES_TOWED_YN
691008,10244396,toyota motor north america inc,toyota,sequoia,2003-01-01,n,2008-09-25,n,0,0,service brakes electric,panorama city,ca,5tdzt34a23s,2008-10-05 00:00:00,2008-10-05 00:00:00,30000.0,,my sequoia 2003 with 31000 miles it showed brake light on so i  thought the brake pads need to be changed so i did but the light still came on and off some days about 4 weeks after vsc lights and abs lights came on so i took it to the dealer and was told that the computer unit for tracking must be replaced and would cost me part and labor 1650 dealer pulled up codes c1241 c1231 c1223 and c1203 it seems from multiple identical complaints toyota has made a faulty part and should make the recall for the safety of the customer  tr,ivoq,n,,n,n,n,,,,,,,,,,,,,,,,,,,,v,,n,n
691009,10244397,toyota motor north america inc,lexus,es350,2007-01-01,n,2008-10-02,n,0,0,power trainautomatic transmission,orem,ut,jthbj46gx72,2008-10-05 00:00:00,2008-10-05 00:00:00,26100.0,,my lexus es 350 recently had flare problems with my transmission  there is a bulletin out by lexus which suggest the cars transmission will flare between 3rd and 4th gear  however what they dont tell you is that the cars transmission will flare but in my case take off on its own  in short early morning i was driving to work and my cars transmission flared and suddenly took off with out me doing anything  basically i had to put both feet on my breaks and stand on my breaks to keep the car from crashing into another car  luckily i remembered to hit the off button on my car to keep it from ramming into another car  i have never experienced anything likes this before having a car suddenly surge forward with all 8000 rpms blazing  my wife would of never been able to stop this car if she was driving  i reported this to my lexus dealer in lindon but they refused to write down the complaint after fixing the transmission  basically the local lexus dealer said they would not write down my complaint and suggested i call lexus corporatewhich i did on friday  tr,ivoq,n,,n,n,n,,,,,,40.0,,,,,,,,,,,,,,v,,n,n
691028,10244417,toyota motor north america inc,toyota,tacoma,2001-01-01,n,2008-09-30,n,0,0,structureframe and members,mcarthur,oh,5tenl42n81z,2008-10-05 00:00:00,2008-10-05 00:00:00,,,there has been no incident as of yet  the truck was taken to the dealership after we went to have the brakes fixed and were told that the frame of the truck was rusting through  the dealer informed us that the recall on our truck would not be put through for another 30 days and that our truck was safe to drive  how ever i feel that it is unsafe to drive since you can put your hand through the frame where it has rusted  this is our only vehicle and we cannot afford to purchase another at this time  the truck is a 2001 and this is 2008 this truck is used for daily needs and general riding tr,ivoq,n,,n,n,n,,,,,,0.0,,,,,,,,,,,,,,v,,n,n
691029,10244417,toyota motor north america inc,toyota,tacoma,2001-01-01,n,2008-09-30,n,0,0,service brakes hydraulic,mcarthur,oh,5tenl42n81z,2008-10-05 00:00:00,2008-10-05 00:00:00,,,there has been no incident as of yet  the truck was taken to the dealership after we went to have the brakes fixed and were told that the frame of the truck was rusting through  the dealer informed us that the recall on our truck would not be put through for another 30 days and that our truck was safe to drive  how ever i feel that it is unsafe to drive since you can put your hand through the frame where it has rusted  this is our only vehicle and we cannot afford to purchase another at this time  the truck is a 2001 and this is 2008 this truck is used for daily needs and general riding tr,ivoq,n,,n,n,n,,,,,,0.0,,,,,,,,,,,,,,v,,n,n
691049,10244423,toyota motor north america inc,toyota,prius,2007-01-01,n,2008-08-09,n,0,0,exterior lighting,river falls,wi,jtdkb20u273,2008-10-05 00:00:00,2008-10-05 00:00:00,35000.0,,hid bulbs intermittent on my 2007 toyota prius problem is known to toyota according to priuschat website forum posts toyota is not consistent with resolution of problem tr,ivoq,n,,n,n,n,,,,,,10.0,,,,,,,,,,,,,,v,,n,n
691053,10244427,toyota motor north america inc,toyota,highlander hybrid,2006-01-01,n,2008-10-05,n,0,0,steering,virginia beach,va,jteew21a160,2008-10-05 00:00:00,2008-10-05 00:00:00,52505.0,,2006 toyota highlander hybrid  power steering failed pulling away from house  immediate failure with no warning signs  i think this would have been catastrophic on the highway with my wife driving  the vehicle is so hard to steer i would hate to think what would have happened if my wife were driving anywhere  this vehicle has only 52000 miles   i typically keep a vehicle until it has 250 000 miles  i have never suffered a failure like this in the 32 years that i have been driving tr,ivoq,n,,n,n,n,,,,,,10.0,,,,,,,,,,,,,,v,,n,n
691072,10244440,toyota motor north america inc,toyota,matrix,2005-01-01,n,2008-09-17,n,0,0,suspension,fresno,ca,2t1lr30e05c,2008-10-05 00:00:00,2008-10-05 00:00:00,40000.0,,i have to replace tires due to them wearing on the outside that the tire companies say is not a consequence of the tires but rather my car  tr,ivoq,n,,n,n,n,,,,,,,,,,,,,,,,,,,,v,,n,n
691073,10244440,toyota motor north america inc,toyota,matrix,2005-01-01,n,2008-09-17,n,0,0,tires,fresno,ca,2t1lr30e05c,2008-10-05 00:00:00,2008-10-05 00:00:00,40000.0,,i have to replace tires due to them wearing on the outside that the tire companies say is not a consequence of the tires but rather my car  tr,ivoq,n,,n,n,n,,,,,,,,,,,,,,,,,,,,v,,n,n
691092,10244456,toyota motor north america inc,toyota,camry,1996-01-01,n,2008-07-22,n,0,0,fuel system gasoline,stoneham,ma,,2008-10-05 00:00:00,2008-10-05 00:00:00,202326.0,,sudden acceleration    its like someone just floors the gas pedal when you dont have your foot isnt on it tr,ivoq,n,,n,n,n,,,,,,,,,,,,,,,,,,,,v,,n,n
691093,10244455,toyota motor north america inc,toyota,sienna,2002-01-01,n,2008-10-05,n,0,0,latcheslockslinkages,beaverton,or,4t3zf13c62u,2008-10-05 00:00:00,2008-10-05 00:00:00,70631.0,,power door failing to open and close properly  this has been an issue since we purchased the van in 2004  the doors would some times not open under power or would not close under power  we had to manually closeopen the door  the passenger side door now will not close under power    when the problem was intermittent we took the van to the dealer and they said there was no problem  doing some research on the internet the repair runs in the 15001800 range tr,ivoq,n,,n,n,n,,,,,,0.0,,,,,,,,,,,,,,v,,n,n
