Unnamed: 0,LDATE,CDESCR,MFR_NAME,LABELS
1093150,2014-08-01,the fuel sensor on this vehicle suddenly stopped working  the readings on the fuel would fluctuate wildly from full to empty  this is safety issue due to not knowing how much fuel is in the car and can cause the car to stall out at the highway      i first had a problem with the fuel sensor 2 years ago and hyundai fixed under warranty the problem has come up again and its not covered under warranty the problem is caused by a defective fuel sensor the cost of the repairs is approximately 750   there should be a recall on the fuel sensors  tr,hyundai motor america,fuel system
1093158,2014-08-01,after reading in the papers about 2006-200 sonatas having an issue with the air bag sensor inside the seat belt buckle i believe it should also include the tuscan ive had this issue for some time now and was told by the dealership that it was not covered under warranty the air bag will not deploy in an event of an accident on the passenger side this seems to be a sensor issue i am sure hyundai is aware about  tr,hyundai motor america,air bags
1093159,2014-08-01,after reading in the papers about 2006-200 sonatas having an issue with the air bag sensor inside the seat belt buckle i believe it should also include the tuscan ive had this issue for some time now and was told by the dealership that it was not covered under warranty the air bag will not deploy in an event of an accident on the passenger side this seems to be a sensor issue i am sure hyundai is aware about  tr,hyundai motor america,air bags
1093169,2014-08-01,fuel gauge began indicating wrong levels of fuel in fuel  tanks the fuel gauge need randomly will swing anywhere between full tank and empty tank over a relatively short period of time many times after a cold start the fuel gauge will indicate empty for an extended period of days then all of sudden will start to indicate fuel levels or may oscillate back and forth    note that hyundai is fully aware of this issue across a number of their auto models and years but refuses to issue a recall  tr,hyundai motor america,fuel system
1093369,2014-08-01,both sun visors no longer stay in the up  against the headliner  position one is at a 45 degree angle the other hangs down  at 90 degree angle this is a problem with many hyundais from about 2005 and up i believe there is a recall on 2006 or 2007 or voluntary action by hyundai but they refuse to fix 2008 and it is the identical part there are numerous complaints on many message boards about this problem living in arizona with constant sun glare makes driving these vehicles dangerous  tr,hyundai motor america,other component
1093448,2014-08-01,bought this car new as a closeout on may 30th 2014 i was on interstate 57 going south about 60 miles out of paducah ky driving the posted speed limit with the cruise control on with no warning the car went to the left across 3 lanes and then back to the right 3 lanes and again to the left 3 lanes before i could regain control the semi behind me just about jack knifed trying to avoid hitting me it was only because the traffic was very light and the semi and i were the only ones on the road in that area at the time this happened or there would have been a major accident i took the car to the dealer in paducah they said it was my brakes they cut the routers i could not drive the car even after the repair over 55 mph as it would wander to the left and to the right when i returned to my home state i took the car back to the dealer and told them to return it to hyundai i was told by the dealer that they never heard of this ever happening to anyone else i have seen reports of others having the same problem so this is a cover up by hyundai the steering on the hyundai is bad there needs to be a major recall on this electronic steering the complaints are from sonata owners also   tr,hyundai motor america,vehicle speed control
1093453,2014-08-01,a failing transmission in a low mileage car is an issue at just over 51000 miles my automatic transmission began jerking into gear between 2nd and 3rd after having it diagnosed i was told they were able to sort-of feel what i was talking about and initially recommended a fluid change when i asked questions about that suddenly i was told it was in internal failure and i needed the transmission replaced that evening the slipping got worse and the transmission hesitated going into reverse and had a big problem shifting up hills with a transmission not shifting normally and power being affected because of that this is a safety issue this problem developed quickly and did not present itself as one might expect a failing transmission to do   tr,hyundai motor america,power train
1104516,2014-09-01,the rear wiper will turn on even though the car is off and there is no key in the ignition  even after pulling the fuse the wiper will not turn off    also came home last night and the drl on the car were on  once the car is turn off the lights will always go off after the passenger car door is opened then closed  the car has not been driven in several days but yet the lights were on    i am concerned that there may be an electrical issue with the car that may cause a problem while either myself or my daughter is driving it  tr,hyundai motor america,other component
1104528,2014-09-01,after stopping and putting vehicle in park electrical system does not turn off  i get a message saying put vehicle in park  after several attempts at turning engine on and off car shuts completely off   this has been an intermittent problem for about a year  at first it seemed to be caused by something resting against the transmission lever eg a piece of paper of a dvd  now it seems to be independent of any object resting against it   tr,hyundai motor america,power train
1104641,2014-09-01,dealer found codes b1706 and b1102 present dealer tech stated driver seat belt buckle needs replacing with an estimated cost of 34456 the srs module is not allowing codes to be reset needs replacing also with an estimated cost of 100400 i see nhtsa has just started investigating the b1706 code -- my understanding from reading the other complaints is that a short circuit is causing the error code and replacing the seat belt assembly is not permanently fixing the problem for most owners most owners mention repeat bills of about 350 but a few of the complaints mention much higher repair estimates over 1000 i suspect these estimates include replacement of the srs module like my estimate did nhtsa should consider whether there is also a rash of srs module failures due to the same short circuit my b1102 code indicating a high-voltage error could also be more common and could also be caused by the same short circuit  tr,hyundai motor america,other component
1104642,2014-09-01,dealer found codes b1706 and b1102 present dealer tech stated driver seat belt buckle needs replacing with an estimated cost of 34456 the srs module is not allowing codes to be reset needs replacing also with an estimated cost of 100400 i see nhtsa has just started investigating the b1706 code -- my understanding from reading the other complaints is that a short circuit is causing the error code and replacing the seat belt assembly is not permanently fixing the problem for most owners most owners mention repeat bills of about 350 but a few of the complaints mention much higher repair estimates over 1000 i suspect these estimates include replacement of the srs module like my estimate did nhtsa should consider whether there is also a rash of srs module failures due to the same short circuit my b1102 code indicating a high-voltage error could also be more common and could also be caused by the same short circuit  tr,hyundai motor america,other component
